 0.0645147     101.91       0.77 
 0.0425791      90.34       0.38 
 0.0970644      99.81       1.16 
  0.135905      97.93       0.87 
 0.0650602     103.07       1.07 
  0.105224     102.84       1.55 
 0.0779283      98.12       0.83 
 0.0359846     100.99       2.46 
  0.128451      103.2       1.27 
 0.0562182     106.17       0.53 
  0.162945     101.74       0.94 
  0.110121      99.94        0.3 
  0.063297      99.05       1.31 
 0.0396443      104.7       1.28 
 0.0951653     100.03       0.38 
 0.0563658     108.27       0.89 
   0.12475      103.5       0.44 
  0.109501     101.64       1.55 
 0.0213752     102.06       1.83 
 0.0858699     104.05       1.39 
 0.0196241     100.19       1.53 
 0.0511327     106.22       0.81 
  0.126147     103.07       1.23 
  0.150986     101.19       0.52 
0.00161417     103.55       0.34 
 0.0568202     114.41       2.07 
   0.06431     101.39       0.31 
 0.0593916      90.41       1.38 
  0.070246      98.47       0.44 
 0.0765187     100.22       1.47 
  0.020051     102.16       1.23 
 0.0229743      108.1       1.52 
  0.154394     105.37       1.81 
 0.0546759     105.68       0.79 
 0.0327787      96.86       0.44 
  0.100105     117.74       1.62 
 0.0701133      99.13       2.14 
