  0.00380302837 -112.49  5.58  5.89272784
  0.0157451309 -113.42  3.32  0.163448857
  0.0497388352 -118.91  2.58  5.82005879
  0.0514286264 -118.39  4.55  5.91155982
  0.059725358 -123.34  8.66  5.97328129
  0.0722855325 -107.48  2.23  2.42390725
  0.0757388833 -115.84  2.23  5.89965954
  0.083270429 -100.37  11.47  6.08077987
  0.0922726307 -120.45  10.95  6.19611402
  0.0956356069 -102.6  2.21  1.71193024
  0.0961999241 -111.58  16.09  2.46169645
  0.101583066 -121.52  1.58  3.10622881
  0.102242667 -110.71  4.38  4.70003062
  0.106101475 -111.01  2.2  3.36637843
  0.106954018 -119.03  15.31  3.04634829
  0.110001823 -131.13  4.15  3.32014901
  0.12320061 -122.1  5.65  2.67180236
  0.131676612 -128.55  2.38  3.29584857
  0.144117294 -122.22  7.39  2.63026237
  0.150641482 -118.34  5.31  6.00933994
