  0.0261002347 -48.1  3.45  5.47113074
  0.0547715953 -61.91  2.51  2.99970145
  0.0571761944 -63.41  12.09  5.99515572
  0.0619408228 -63.95  3.86  5.37682692
  0.0667497369 -68.19  9.23  5.77365781
  0.0706155967 -49.3  10.81  5.67722276
  0.0836805792 -59.69  4.02  2.64204041
  0.0995376989 -37.93  2.27  2.78028788
  0.0997413456 -64.06  2.24  5.38171879
  0.108748072 -37.73  2.21  2.09564233
  0.11176551 -56.61  5.22  0.192426885
  0.112091136 -60.5  6.11  0.640325742
  0.117332578 -51.32  2.22  0.526975156
  0.118272871 -61.49  1.6  0.332515872
  0.130532149 -56.6  4.18  1.66621262
  0.143247173 -54.55  2.28  6.01122953
  0.146140599 -58.87  8.34  0.141489708
  0.148939583 -38.94  1.88  0.379953326
  0.16015292 -56.37  12.72  1.61755808
  0.163408538 -55.87  6.58  2.93735955
  0.169806164 -57.32  3.54  0.602823647
  0.170160922 -59.86  3.42  2.53539255
  0.180428545 -54.57  2.28  0.985538602
  0.183988559 -58.34  2.65  1.0935322
  0.191022584 -73.47  3.74  0.410411067
  0.191650745 -52.9  2.47  0.638936618
  0.192014599 -55.12  3.13  3.13767742
  0.215326987 -59.55  10.07  0.240107335
  0.216679363 -57.46  2.75  0.0964781486
  0.235174201 -47.39  26.  3.49625564
  0.240337517 -64.82  2.26  2.58215635
  0.246094993 -56.69  7.74  2.73445605
  0.257784254 -52.63  10.4  3.28064708
  0.260308834 -40.73  2.31  3.10252968
  0.276844694 -53.62  2.47  3.2171476
  0.282228953 -57.64  3.36  0.317911861
  0.285645775 -62.48  3.28  2.89082143
  0.31193767 -48.74  2.56  0.221426666
  0.324082589 -53.51  2.57  0.528521273
