 0.0335235    78.1105   0.900693 
 0.0447192      75.27    4.84494 
  0.117408    81.2192    1.44552 
  0.095448    80.6306   0.595916 
  0.095289    85.2828   0.455057 
  0.102153    79.4987   0.815846 
  0.101844    84.9884   0.932826 
 0.0969112    76.0814    1.24865 
 0.0858422    78.5207   0.943651 
  0.199444    83.0269   0.465149 
  0.148933    63.8155    1.60964 
  0.130833    78.4065   0.698003 
  0.100756    91.2912    6.32814 
 0.0671238    83.0165   0.597048 
 0.0811183    74.9641   0.806917 
 0.0654588    75.0091   0.673705 
  0.104732    74.1505    1.23856 
 0.0107495    80.2958   0.473603 
 0.0135053    60.9885   0.743286 
  0.071672    81.3909   0.476791 
  0.061431    71.8374   0.785153 
 0.0819899    97.2395   0.761063 
  0.036883    68.3037    0.71305 
 0.0719523    82.9379    1.15608 
  0.065988    66.7111    1.33336 
 0.0318553    86.1254   0.438229 
 0.0511586    93.5885   0.812011 
 0.0734719    91.2429   0.580764 
 0.0182734    59.5171    1.96028 
 0.0373429    77.7077   0.799067 
 0.0537091    80.0758   0.454073 
 0.0864415    87.1575    1.41219 
 0.0349714    77.3845    7.28512 
 0.0259812    88.8105    1.17693 
 0.0492298    83.2781   0.719569 
 0.0474585     69.711   0.526188 
 0.0616725    83.3448   0.553426 
  0.042651    80.1866    1.37464 
  0.063446    77.4499   0.582632 
 0.0492472    84.1834   0.837115 
 0.0732641     72.278   0.939149 
 0.0288663    78.5047   0.686552 
 0.0706246    87.9603    1.02795 
 0.0530348    75.5093   0.622296 
 0.0403141    85.3719   0.692217 
  0.101634    86.1949    1.09463 
  0.106759    76.7416    1.15126 
  0.138159    83.3162    1.06277 
  0.132937    78.6314    0.88547 
  0.146141    85.4592   0.730047 
 0.0386497      71.08       2.19 
 0.0384428         75       0.91 
 0.0227037      71.64       0.78 
 0.0136159      75.43       1.85 
 0.0310894      84.19       2.35 
 0.0435917      76.27       1.81 
 0.0874884       70.1       1.09 
 0.0675784      79.65       0.68 
  0.111682      75.44        1.2 
  0.116808      70.11       2.43 
  0.102542       65.5       1.22 
  0.100939      77.97       1.29 
  0.104046      84.51       2.42 
 0.0896943      77.14       1.71 
 0.0760675      71.45       1.67 
 0.0191133      83.43       1.43 
 0.0340436      75.73       0.87 
 0.0135245      70.98       0.86 
 0.0263778      80.39       0.73 
 0.0123023      85.57       0.77 
 0.0152233      69.81       0.99 
0.00405421      82.94       1.39 
0.00533236      87.07       0.59 
  0.013738      82.17       0.78 
 0.0796988      70.57       1.09 
 0.0615527      67.04       0.94 
 0.0453022      78.71       0.69 
 0.0546463      79.39       1.16 
 0.0538432      68.67       1.25 
 0.0704099      80.78       1.22 
 0.0584818      78.56       0.64 
 0.0665764      76.73       1.25 
 0.0686097      75.59       0.67 
 0.0372872      84.45       0.81 
 0.0384938      71.84       0.78 
 0.0344388      79.97       1.43 
 0.0707127      75.56       1.98 
 0.0457835      71.28       1.07 
 0.0587843      64.82       0.75 
 0.0517857      73.71        1.3 
 0.0397847      61.23       0.99 
 0.0616618      74.77       0.77 
 0.0272013      94.94        0.7 
 0.0165969      71.94       0.59 
 0.0211764      62.13       1.15 
 0.0260453      75.71       0.59 
 0.0224223      61.64       1.08 
 0.0375448      80.15       0.66 
 0.0393426      81.19       0.62 
 0.0512318      78.67       0.72 
 0.0575288       72.5          2 
 0.0223773      80.92       1.06 
 0.0208577      89.74       0.97 
 0.0264299      80.16       1.23 
 0.0600752      83.62       2.57 
 0.0534327      83.64       1.42 
 0.0349614      83.41       0.75 
  0.030786      83.59       0.86 
 0.0788158      85.01        0.8 
 0.0362754      87.15       1.29 
 0.0443501      86.23       0.77 
  0.015897      79.23       1.52 
 0.0273327      84.65       1.85 
 0.0292216      68.95        1.8 
 0.0238027      89.24       0.82 
 0.0387721      74.23        0.8 
 0.0370345      82.71       1.54 
 0.0299623      79.41       0.66 
 0.0250253      69.32       1.16 
 0.0274604       76.9       1.85 
 0.0302007      78.52       1.29 
 0.0341752      73.65       1.46 
 0.0372898      75.25       0.77 
 0.0159525       81.4       1.97 
  0.048933      74.08       1.04 
 0.0758509      72.02       1.55 
 0.0206426      81.77       0.66 
  0.026426      89.38       0.84 
 0.0314562      72.61       0.95 
 0.0326552      88.12       1.31 
 0.0298004      72.68        1.1 
 0.0485508      88.24       1.65 
 0.0991003      73.85       0.69 
 0.0415368      76.27       0.65 
 0.0443453      96.26       1.85 
 0.0525882      68.92       0.99 
 0.0439432      82.94       0.69 
 0.0563284      73.78       0.94 
 0.0581313      79.22       1.51 
 0.0886545      83.28       1.92 
 0.0635309      87.52       1.33 
  0.135797      83.24       1.44 
 0.0561072      76.94       1.36 
  0.054416      66.48       1.16 
  0.061853      82.29       1.44 
 0.0399872      83.51       0.92 
 0.0340789      83.72       1.47 
 0.0227588      70.03        1.3 
 0.0345502       86.1       2.38 
  0.076651      84.69       1.01 
 0.0496726      59.67          2 
 0.0390417      69.71       1.12 
 0.0542895      72.17       1.25 
 0.0440694      69.47       1.52 
 0.0344976      73.05       1.78 
 0.0831772      85.06       1.43 
 0.0817422      77.27       1.34 
 0.0390957      75.81       1.93 
 0.0355175      88.15       1.21 
 0.0401711      85.27       0.89 
 0.0642285       74.4        2.3 
  0.054318      65.59       0.96 
 0.0620159      83.86       0.99 
 0.0632086      72.15       1.06 
  0.099036      89.71       1.75 
  0.111999      79.23       1.53 
 0.0934149       82.8       1.85 
 0.0800554      85.45       1.83 
 0.0596437      82.05       2.14 
  0.101289      78.76       1.57 
  0.050171      74.02       2.19 
 0.0923822      98.08       1.29 
 0.0575198      73.34       1.54 
  0.154263      82.42       0.82 
 0.0990678      77.93       1.81 
