  0.0117190303 -128.96  2.45  1.54532039
  0.0171375707 -123.76  3.3  1.52205918
  0.0176216053 -131.28  2.99  2.35672368
  0.0193642285 -125.69  2.36  1.77312136
  0.022735305 -131.86  2.4  2.32787388
  0.0377516607 -125.05  2.64  1.090047
  0.0388904413 -133.82  2.25  1.60528951
  0.0464174457 -119.37  2.53  1.41622918
  0.0485096984 -126.82  3.07  1.85326453
  0.0537419995 -134.79  2.43  4.6240893
  0.0553467326 -123.42  4.66  5.64934941
  0.0636907813 -128.05  2.87  1.35255344
  0.0710751809 -124.53  2.75  4.51722741
  0.0728397096 -124.83  2.83  4.25670447
  0.0760393632 -127.94  2.36  4.23330973
  0.0779195414 -126.17  7.51  5.08395537
  0.0835031694 -104.3  10.66  4.72548407
  0.0885036739 -149.49  11.46  4.15201351
  0.101446984 -127.44  2.37  4.930222
  0.113524784 -128.5  3.17  5.72643175
  0.119410974 -133.64  4.11  1.05725298
  0.121845625 -126.76  8.83  5.82741252
  0.141459295 -136.15  2.73  3.55253953
  0.165356664 -132.68  13.72  2.98307359
  0.315237577 -144.13  3.17  0.205908072
